Siren,CA2013,CA2014,CA2015,CA2016,CA2017,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017
442494084,605e3,654200,685660,719820,734780,35e3,49500,25510,41720,41520,9,10,11,12,13
451553366,172598,160988,171303,136384,174069,8425,4575,8899,59,654,1,1,1,1,1
489916635,538941,569444.6666666666,626333,639395,630146,-7578,18477.333333333336,-12797,4554,2140,0,9.333333333333334,15,13,11
492016837,2694328,2004625,2114767,2204760,1729547,215548,72579,30948,56164,23135,4,5,7,4,4
533291928,2302535,23e5,2465e3,2691500,336e4,27118,27204,23056,30446,9568,11,10,11,13,16
534012596,1060327,1084338,1169696,1720811,1636684,35819,29133,62750,77475,85788,2,2,3,0,5
789074820,1271138,805626,768837,1055068,1095282,26570,23440,9744,62983,14022,2,3,1,3,5
342707502,27100776,29132681,31725620,35412914,42556550,533609,461932,1008773,1732503,2537202,160,167,187,206,248
342724432,8534223,9476971,8144361,7048969,7689885,2697634,777224,-599679,65880,57089,7,7,8144,15,19
342735834,22274556,25015945,40811210,41644765,44639990,125753,171071,13777,-803909,579397,38,38,69,90,104
342781135,349338,418761,460464,528626,488348,12760,2392,1168,-23651,20173,1,1,1,1,1
342782117,237664,113624,260062,284646,229580,1208,232,7417,7450,1590,2,3,3,0,3
341774230,1211232,1199572,1158845,1199559,1260503,13276,26817,3445,23119,26735,10,10,10,10,10
341775344,21065644,22231991,21787726,22193775,23883931,137615,358744,267576,23013,355883,125,126,135,144,141
341788487,2011688,2003934,1831947,2286686,2454117,7373,6853,7292,45038,39425,8,10,10,9,9
341795557,17180570,26099930,19232830,24604550,27450820,1105130,2248040,455660,2520980,2273460,47,72,57,56,80
341811297,10008691,16052498,22844886,28530542,31680553,228795,1363714,2304316,2704237,2575126,147,209,300,382,440
341853554,6328750,9119880,12025930,14633120,21889200,335510,550900,622360,1245820,2913770,18,22,28,30,35
520392234,379708,411072,334384,397734,399837,96335,703,-16801,20680,-70724,0,1,1,1,1
926950106,11038530,11129540,10847620,10766140,10768240,-57770,-61860,98890,-135120,-42830,61,59,59,59,56
451563829,6331970,8501530,9456500,8478420,9995240,408380,343730,128510,149440,249e3,8,12,15,17,18
451568547,23021515,18668757,21048106,21047748,18745e3,991983,884947,846109,990496,613501,6,109,113,112,103
451623920,188e3,171479,158515,145790,151361,-14622,-11217,1479,-3369,6664,1,1,1,1,2
444999825,180088,147011,177919,143911,110899,2411,-7066,-12206,1637,2761,1,1,1,1,1
451659999,251167,236831,209270,197437,176588,10917,11089,3690,104,-6523,2,3,4,2,2
341867612,694966,659111,745451,700916,684502,3620,9211,9036,11076,12307,2,2,2,2,2
341908903,5388589,7395328,7247534,7494364,6266933,65653,594115,504354,258e3,424836,12,13,10,10,11
341980415,1079765,957613,913052,851378,818306,-53171,4610,12684,12740,25470,7,7,7,8,7
342024171,5562390,4841410,5122100,4908300,5036370,111010,-200,-95230,31030,51470,27,27,27,38,46
342099843,931141,1034470,1347942,1620703,1773274,-44060,52066,76776,111781,82377,10,10,15,18,18
542104377,143976509,149604e3,151982190,149615289,142686171,-9384917,-38538e3,33729729,63910895,36625005,652,626,646,628,622
542720503,9443706,10004808,9222283,10869501,12169150,-233122,-66888,93533,321021,240793,32,29,27,27,25
545820094,6136018,5656525,6185667,4779661,4909099,42954,120385,130127,101291,82010,40,35,38,38,38
545880445,24323802,26266912,27565187,28949457,30442278,131899,151295,223583,-190822,434610,32,30,30,29,27
546050246,50685959,54542382,48255979,52958458,56828602,3916595,4793615,4887090,5715214,5974631,202,210,211,225,266
546320045,257924,194999,196911,167839,153688,1705,15691,7587,21356,15820,1,3,2,1,1
546540709,11761733,9741616,7978996,10945755,10731784,416638,14521,-1092655,-1271237,-392835,74,82,82,87,82
547320234,1026663,926700,833316,830118,819763,4312,6863,42184,14134,11452,9,8,8,8,8
551721160,1310446,1300950,1125578,1057121,1110992,82474,90326,75383,44909,46920,6,7,6,7,7
552012031,1362619144,1335417794,1417672964,1414713077,1307090113,25938981,20939004,27103868,25974686,21428146,1123,1094,1117,1112,1061
552024671,112044438,111584107,100921105,103392046,98679044,1762888,5171660,7827369,8105523,7655230,528,484,432,406,402
552028094,242019,341085,320392,335266,340075,65505,123797,90461,133226,144972,1,1,1,1,1
552031239,854021,825151,760101,752873,742476,3283,13914,10191,15813,-17124,13,12,13,13,13
552036691,1939344,1547853,1557758,1503950,1491358,-49011,-144114,-174622,-133538,615,15,15,14,14,9
552038598,9655995,11159887,11281739,11559035,13618946,213023,232888,171684,311783,542886,8,8,7,8,8
339836397,5706718,8151789,8587051,10282280,10607622,59082,227675,227863,501383,461462,12,0,13,16,16
344111448,5119224,4854202,5888247,5611124,5962236,111884,244486,144757,142555,157960,23,26,25,24,25
500827902,201808,183568,183859,163999,164059,13525,6599,10094,3016,3663,2,2,2,2,2
540042603,334365,605531,498422,439099,265087,31627,2132,1886,-14968,-123780,3,3,2,1,1
557150422,2958526,3053348,3403871,3431087,3756781,146712,62613,86971,45820,167884,35,35,38,40,40
572017507,76210477,81306929,88883312,92987760,89690271,5321734,3106491,5429069,1296723,3304212,209,217,218,232,239
451339188,174401,180869,193581,245890,605395,8570,9945,33663,81013,173066,8,7,7,7,7
451339196,456141,445375,470708,459062,491402,15073,691,5984,-22037,4643,3,3,3,3,5
451363493,57610630,72556380,83281170,97540428,119846951,-3328845,-1684725,-1464437,-2359102,-2865202,449,519,574,752,944
531889145,644563,741825,855483,1016125,1311900,31537,30025,5714,27543,23698,5,6,6,7,8
342101037,1368869,1268118,1330608,1287258,1357669,223444,209292,191183,119678,183215,7,6,6,8,8
342203528,16321683,15048034,14268275,14797950,13846220,899415,560752,492445,567493,432443,86,82,83,89,88
342204120,219189,209404,187750,116054,124443,2260,3004,-8333,-20583,-20353,3,3,3,1,1
342252715,2021262,2175336,2339832,2461502,2457471,208728,284356,308464,334673,335175,26,26,28,28,29
342279296,847139,1037568,937173,732886,961884,78239,70148,37939,9209,55631,5,7,8,8,7
342320017,701270,622810,876450,1163810,1077170,74150,79260,86900,191230,160810,3,3,3,4,4
340708023,8605e3,5835800,6375480,5193450,5744370,117e3,78700,471370,222130,352410,45,35,36,35,31
552052938,3155284,3101363,3047678,2827175,2644379,1212657,766580,1142190,1170703,1913450,4,5,2,2,2
552062770,69382447,66893703,63594135,63368111,56035587,10061634,10011813,13066609,8060756,475692,240,233,222,205,184
552073371,107883e3,10172e4,110029e3,98722e3,84531e3,12603e3,11102e3,8121e3,-3946e3,9403e3,7574,291,286,274,163
552085672,47449960,49463345,52587169,64492365,69049880,2202324,2748015,3176721,4023056,4202384,84,99,104,111,113
552088536,1126750433,1150468288,1451673714,1332456375,1472944737,29312867,47411163,59272881,65595269,55600579,2736,2725,3402,3329,3453
552095812,7210734,7780832,8234334,8489925,9761135,394778,382332,273605,261481,325496,31,32,46,48,33
552820557,3494100,3655410,3193530,3703030,3984910,349900,351770,210190,316050,320340,18,19,20,19,15
556350049,5611e4,50505e3,49382e3,48319e3,50746e3,578e3,565e3,715e3,675e3,922e3,120,130,132,125,121
552128696,1262435,1245680,1207180,970203,890212,39274,55127,27380,-60862,-125522,14,14,13,12,12
552130734,219255186,195097660,168895356,150161846,37729401,-5302563,-5904858,-9911092,-28754594,2266666,352,339,362,320,320
552018020,248927e3,244057e3,252502e3,252451e3,240525e3,163905e3,-32209e3,232432e3,384523e3,144879e3,1040,1078,744,599,799
612003491,14937109,18191584,14645031,17821200,15632907,-46919,-110130,-103643,-144107,-300035,27,26,22,23,21
616220034,27613756,24988750,24013756,24513082,25206273,144662,-539113,-1037436,-536793,67980,82,83,80,66,66
672032901,2317310,2439352,2322035,2273266,2279605,10365,748787,50503,-1318,177599,6,8,8,8,5
675820187,9713899,10053272,10086570,9864075,9010055,-1061970,-138854,-371735,-1335095,-58248,129,126,126,128,117
451397228,9570344,9502395,8984464,9903982,10131489,237735,166448,97605,114073,188511,41,41,37,38,39
451400501,2511699,2594719,3263771,3285655,3351808,165880,159365,139980,235162,226228,9,8,9,9,8
451427637,6541692,8947730,9640583,11712750,12511090,86051,31634,-527020,81574,713479,50,61,65,90,102
451459804,8075030,8412770,8662610,7957380,8267410,599750,588280,892860,454070,883370,52,54,65,56,56
451469415,6514557,6744948,6744563,8336938,8409392,101275,259213,14942,208823,457823,9,8,8,15,18
353411846,355659,358928,332634,339292,323786,49524,38438,29776,28787,33178,5,4,4,5,5
380590489,19639590,19369730,19795810,20317280,22633800,1039100,842140,899270,826400,648290,37,37,38,38,39
381093491,617795,567678,486363,540095,599912,4495,14213,2938,12005,6808,2,3,6,4,2
383007374,24300110,24020410,26830420,27565750,27665210,822280,627250,984660,1003e3,1033600,48,49,49,49,49
384684916,2766426,2858277,2645692,2969180,3308752,-48239,57683,-256178,-17233,134575,49,46,45,44,49
499446029,165329,520353,191667,136082,158352,-5073,68058,-9494,-35311,-18864,1,1,1,1,1
340821123,13104098,13331883,13069208,13431183,12994563,-242625,62443,173424,60926,25113,143,141,138,154,131
340920339,8768961,10030631,9109238,12747531,11712637,47689,68409,61183,195574,168555,12,12,11,11,10
340949031,81491715,194677953,230972701,257620075,277982896,24708673,18839956,24621250,24533712,25690416,154,163,168,191,196
340967546,24865173,24156186,22845083,22415234,20371986,727369,-1978083,120809,194775,-1943102,271,274,226,221,207
340977891,64651464,64230721,60886074,68472395,69129560,446206,1128604,339571,365115,421020,209,209,205,202,198
341011591,5650736,4603661,3657406,4641977,4851095,185262,139753,52,100132,166953,11,13,13,15,15
341016236,750010,557102,547535,614191,435972,33061,10052,16159,19040,4418,3,3,3,4,4
672045143,3099888,3186378,3400547,3670620,3884490,283275,239850,254076,548998,525449,34,34,34,34,34
672880937,27405210,25754510,23655820,24036990,24735450,578470,499440,375310,804720,910880,94,90,89,44,87
673680096,14351859,15264401,16015264,17270742,17830780,245173,186187,315930,582031,422335,44,48,43,44,49
675850242,24669690,25343780,24487850,23944550,23907510,-418860,1158700,618630,149600,359880,67,79,82,84,98
676050107,1212320,1244210,1198360,929240,792910,367910,1212990,920030,3309510,-37220,5,5,5,4,4
676920234,51397982,52597408,53518247,54224392,66145999,1269036,1897893,2075372,1981764,2404539,458,463,475,1972,582
679801886,146676220,155124032,176419371,164712769,175146781,3404014,6973764,10191188,7416825,3387869,596,584,609,648,647
679812735,173e3,207e3,19e4,173600,213292,36103,50485,60762,29331,56548,1,1,1,1,1
681920211,6236850,7273630,5781540,5532920,6026680,385960,317940,266170,268660,172370,47,47,46,43,42
682025069,36253721,35204249,38186502,36391388,41163366,1328178,1120757,2754090,645691,876786,98,99,99,104,114
682033899,36816772,37230626,38275107,50262608,52906403,1668342,1595570,1336657,1725279,1514061,120,122,125,164,162
682680079,3745196,3107015,2795386,2967704,3834758,355102,166768,49759,121772,183951,15,15,14,12,14
384562088,1173822,916712,1469838,745189,809356,6226,15382,2481,24210,27535,3,3,3,3,3
442396032,19439008,21521834,22929295,22420696,20747040,-21277,-662586,-45704,-1565994,-669178,851,910,1046,978,1218
442412300,497873,453751,455088,471713,494864,9163,5583,7492,20298,26165,3,3,3,4,5
452040207,1872564,1943791,2120798,2219487,2087389,176235,163187,218024,162092,111408,78,87,87,102,102
452055411,3413459,2911980,3421853,3789013,3610090,60599,72412,106582,65465,78863,22,19,19,19,23
788759413,413761.6,432537,438810,419735,421137,18485.6,4067,1299,2662,13060,0.8,2,3,3,3
341056281,325743,334826,362473,366585,463497,27717,20253,31436,27283,56851,2,3,2,2,2
341076867,21154600,19320182,21086997,19130456,17262057,2264218,977609,1478783,753508,208635,37,36,26,33,31
