Siren,CA2013,CA2014,CA2015,CA2016,CA2017,CA2018,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Résultat2018,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017,Effectif2018
339010225,21836504,22023740,20563684,20953233,20515476,22080686,213044,273431,308701,174891,64300,36225,50,49,46,44,45,44
502821754,778299,1100298,1289083,1031546,957853,790662,9499,101462,17250,52753,39790,35157,6,7,9,7,9,9
339091720,4658359,5800455,7960249,5727125,5801361,4406897,245592,250828,493442,691375,808437,648831,26,33,32,35,28,23
339153025,1688830,1668788,1702955,1671037,1686360,1699227,140489,128835,174141,135474,129808,239260,4,4,4,5,4,5
503425712,683166,886512,1161005,1168036,1091675,1161160,85850,86579,94321,78184,78164,29927,4,4,6,5,6,6
413211525,2088938,1338939,2640775,2664775,3636570,2013805,76391,22913,197352,98546,557954,221815,9,8,9,9,0,11
412206757,13213690,14171520,14880390,13531200,15151520,13372350,351560,620740,699630,597980,810850,597170,74,74,78,84,81,82
503712036,380747,836797,2562422,2609546,275583,277111,-62055,375748,411350,-204916,125251,449411,1,1,3,3,1,1
336920046,2930613,2335242,2421083,2592955,2982551,3064055,103879,-61340,35293,79467,134517,-34456,12,12,12,11,13,14
337808349,7893030,8269814,8746174,8968430,10217738,10538241,147592,164939,221678,168533,256082,185559,62,49,49,49,49,49
414448464,48890851,58217839,60731971,70352904,76990111,79152938,2562054,3221068,-6261736,485991,319617,-1768521,133,147,168,196,206,213
752117960,1755947,1742850,1650297,1610795,2022568,1733533,-30131,38790,9620,37065,10115,-22962,4,2,3,2,3,4
752151159,1233292.6153846153,1331782,1466846,1575221,1749239,2238122,42948.92307692308,45781,2606,45189,104072,114493,8.307692307692307,8,11,12,13,13
338420938,1589564,1754430,1733872,1724676,1735120,1766839,881548,578648,332503,306881,565734,629518,5,5,4,4,4,4
414759340,282286,323445,301526,362643,425183,476604,56320,29135,443428,139341,143713,194980,3,3,3,0,2,3
751994260,149102.40000000002,361305,403597,464859,454680,403600,-131363.19999999998,-51270,-9583,2809,-14080,8131,2.4000000000000004,5,4,4,4,4
338472160,17418446,18220471,18497511,19265774,19600298,21371046,1422937,1539276,1314829,1538462,1402667,1677013,52,56,58,58,61,62
338473341,45336940,37324340,39317610,37622230,37662580,41353025,464910,19580,289280,290050,210040,204270,17,17,17,18,19,19
339964678,3064100,3440953,3739978,3694528,3626023,3706905,3614,66471,95291,83732,23487,61722,24,27,28,26,22,20
752416412,152e3,471462,505020,544362,542429,423678,375372,419681,583289,381596,406080,592941,4,4,4,4,4,4
752420596,203880,214740,206180,208630,204690,204070,28236,42740,130330,138990,97230,-1160,2.4000000000000004,2,2,2,2,2
422067751,30868570,33856939,33355518,35457264,32986510,33682769,127357,786383,229052,1531725,601154,1783314,232,269,230,227,228,223
751466772,226218,183919,211536,208230,212521,206240,1397048,483387,599400,473483,944815,717518,9,2,2,2,2,2
339373102,4446158,4753332,5204799,5488906,5975938,6343101,27542,42802,32046,49046,62075,106842,27,27,29,29,29,33
503230807,222832,234703,286346,291757,289804,236331,12667,-3355,-20133,-93587,6541,3188,0,0,0,0,1,1
422561126,4983949,4797895,4100132,4484257,4619294,4506195,5160,-148443,-176199,-54573,-662,65362,18,16,17,16,0,15
422571695,382630,335650,248790,293370,310520,389640,35720,32080,-8480,12980,26540,38260,2,2,1,2,2,3
340641216,69526587,78069585,88272656,103894634,120965304,117070327,2335104,4235142,4984479,6114896,7301894,5451344,975,975,1168,1296,1634,1634
422367706,1060430,1431834,1404211,1501673,1450007,1374668,429464,385632,487290,490958,518922,406721,14,14,13,13,14,14
379225105,925998,899440,987848.3076923077,965695,1170624,1300022,60170,32120,26101.846153846156,34451,41062,50029,1,1,0.9230769230769231,2,2,2
378851216,1162555,1050106,964604,924220,888475,896966,105915,60852,27078,-6102,44636,91066,12,13,12,13,14,13
378906374,1631870,1726030,1706870,2087,2265272,2286848,69470,69610,95740,170,202821,189706,6,6,6,6,6,9
504673971,356925,493135,552658,543722,535138,467423,3070,11366,16734,-38741,19771,8273,7,6,8,8,6,6
477717433,1110929,1253051,1455855,1920470,2107861,2028735,178259,167767,202715,205717,327612,309150,6,6,7,7,8,9
751876129,262710,306003,363449.5384615385,504141,505362,627401,25249,4919,23920.615384615387,40817,15990,30510,2,2,1.8461538461538463,3,2,3
477623110,11132771,9367393,8852126,8042174,8929290,7409372,881699,1004967,924506,793552,1279546,429232,108,109,99,97,95,352
788396893,4560677,0,0,0,0,0,101126,-15705,-10665,117563,95328,142707,37,0,0,0,0,0
380927475,1414247,1482662,1458416,1427801,1722686,2808765,6148,91825,109703,110623,165065,215040,10,12,12,10,13,15
510035686,104511,147951,116198,108085,83189,92991,19023,24903,28203,14227,2259,5467,1,1,1,1,1,1
478824394,3383360,3557761,4436997,3821147,4314326,5121938,5385,12764,13043,17059,31760,67393,2,2,2,2,2,2
788559698,45177,47262,47345,51691,54580,57718,-7067,-85,-4133,-189,8164,5055,1,2,2,2,1,1
381007566,6695209,6751896,5813830,6749363,7389786,7852533,13692,367942,100873,117880,185495,252650,46,44,46,45,46,46
511353476,22125538,22952454,24456463,27403709,26230765,31666935,278824,370792,292629,-1584278,-1648392,906947,150,157,166,170,193,200
477985691,284386,304635,292640,341943,341138,321375,12603,10081,-5622,9407,509,-24560,1,1,1,1,1,1
478039431,3062553,2960771,3665993,4423917,3606330,2653294,336008,311783,366840,384780,286490,60984,23,23,27,26,24,20
510581499,25482370,25661840,25344040,24455330,23411250,23659070,-663650,27850,429290,202260,-22900,51590,81,83,87,94,94,1
510972318,129519,137574,127712,131095,145312,152346,371,-4605,1451,5023,12364,12357,1,1,1,1,1,1
453635377,94080,65140,102890,111710,72740,40117,-4840,930,-25940,28720,18620,-6963,1,1,1,1,1,1
384046934,2019814,2090047,2000808,1791010,1798512,1804720,67998,106570,87851,47311,133334,145585,12,14,17,16,13,13
511098238,119869,140913,172886,173136,190188,188140,25161,14296,8534,17695,24907,29262,1,1,1,1,1,1
383861382,955030,1141520,1115930,1058,1055352,947445,1910,30910,2480,-3,22025,-29209,3,3,3,3,3,3
509433942,1449048,1258220,1350942,1344074,1322103,1341143,-1332811,1213382,511143,535778,1591883,1449923,3,3,3,3,3,3
453845786,13e3,22076,15163,13118,0,0,-182820,29404,87441,-19063,-9741,14950,2,1,1,1,1,1
390538031,4014040,3931263,2744236,3012472,2521588,2065650,50944,81393,72192,56476,62826,40840,11,6,6,7,5,7
479182230,633807,505978,505321,455951,277650,14879,15192,1372,34509,5984,18991,-40442,5,5,6,5,0,1
389901125,7415779.199999999,8586563,9939785,16055842,20973769,27515056,-3518764.8000000003,-298948,878540,480164,650144,-1185507,84,28,25,36,53,68
389908815,360733,379473,377950,424126,401678,464488,29746,26263,19620,33736,11547,14820,5,6,6,6,6,6
478479843,4396461,4583256,5586628,7374875,9139296,10231009,342315,139389,256662,129667,130317,158762,0,0,39,42,45,50
509161071,4428376,5567645,5840714,6490040,7755055.199999999,8269775,67122,88289,85151,97200,82868.4,58062,6,6,8,8,9.600000000000001,8
390192003,203817,229906,210383,186042,187470,150775,-2351,-1474,-26537,-7784,-19544,-29972,2,1,1,1,1,1
582150041,43652102,43047031,39713028,38975760,36626657,35369177,602527,2194437,-6963094,-1262614,-6147926,-4132426,728,728,1090,577,640,624
582919155,992892,1232435,1404154,1492023,1418213,1302675,9795,68577,118131,124827,122069,62027,5,6,5,6,7,8
583821376,20429e3,20583e3,20454890,20935080,20810419,21015075,681e3,761e3,823110,1106460,1101850,1066684,101,103,103,101,101,96
391245289,2914163,2807542,2725441,2445308,2232965,2241555,126485,143668,173979,40616,-76903,6567,20,21,22,22,21,20
572151207,16341795,18103862,19299821,23258122,24372397,26846757,711960,1087440,1200104,1239122,1155731,750923,49,49,46,48,48,25
393086665,551091,676353,795849,965972,988602,959536,-3131,317,-658,17405,18070,14273,1,1,1,2,4,5
393117320,15135545,15723778,18987762,17313944,15796656,20707739,771128,901408,1014748,933678,763548,1007906,13,13,14,18,18,15
393224084,1422424,1547885,1700199,1468269,1151094,1160698,90556,147792,252204,118125,77227,46645,14,14,14,11,13,13
510222532,473155,498488,524757,445122,467609,319552,-641,-29,1111,635,-66,2745,1,1,1,1,1,1
552121816,107038060,107214910,96167180,96633240,95459290,89980868,4244330,4462540,3345490,4050910,3904500,4383852,99,98,99,98,99,105
572196137,1747211,1666516,1412475,1522389,1386344,1331927,29124,36734,-37249,7450,18881,17093,6,6,6,6,5,5
572233864,64065184,70154054,85389507,91964623,82413092,83375744,3848309,1453955,3029696,6677441,1633057,824381,208,231,262,279,290,308
574803185,20670809,23405710,25538021,25950215,30392892,36756927,66902,64149,82673,94439,16960,87673,16,29,25,21,33,34
581880481,13559274,14970975,8871559,13364731,9903928,11840375,-1868,-142337,602,58679,-62767,34329,77,93,81,56,56,47
602023152,25569751,22293847,19116061,13985454,14748996,16233580,60503,56599,23709,5300,31208,44062,22,19,20,20,20,23
605620426,11737340,11593634,11133588,11048949,11210510,11871343,183289,-239267,174327,408976,464682,537499,114,112,83,81,80,104
