Siren,CA2013,CA2014,CA2015,CA2016,CA2017,CA2018,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Résultat2018,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017,Effectif2018,clustersCA,clustersRES,clustersEFF,activite,nom
320366503,4088137,4457088,4925017,5195556,6000820,7505370,64680,406870,265458,413964,759755,217878,62,59,63,79,95,102,A,A,A,Fonds de placement et entites financieres similaires,ASSE GROUPE
320544406,2051998,2343508,1991468,1666665,1617775,1629993,17894,-23859,-8694,-44159,398,93370,27,27,22,19,18,19,D,B,D,"Ingenierie, etudes techniques",SODEREF
387981079,921872,954672,933001,877504,921951,1043799,68953,61040,33470,42188,45850,33038,0,0,0,0,6,7,A,D,A,Commerce de detail d'articles de sport en magasin specialise,E.T ALTERNATIVE
423505684,230723,288265,248951,170536,126014,193621,1065,3750,2334,2735,2102,7363,3,3,3,2,0,2,D,B,B,Travaux de maconnerie generale et gros oeuvre de batiment,SARL D'EXPLOITATION ENTREPRISE BANET
423559640,3202340,2992022,2753211,2817421,4613405,5924925,120899,133218,92467,20809,467836,371858,31,30,28,30,30,35,A,B,A,"Decoupage, emboutissage",T.P.M.S. - TOLERIE DE PRECISION - MECANO- SOUDURE
322928680,5908194,6036791,5824152,5912427,5853032,6253723,99734,30393,93283,85238,74969,66961,29,29,29,29,32,32,A,C,A,Fabrication d'emballages en matieres plastiques,SAK-PLAST
323934513,22895955,21811383,23197522,22276335,24576528,25740600,338555,340446,378688,380808,441767,504850,35,32,33,38,37,37,A,B,C,"Commerce de gros (commerce interentreprises) poissons, crustaces et mollusques",BLANC
388143356,15151776,15871505,16054106,16203206,18009736,19273930,416463,901643,835108,502171,696616,374309,97,97,107,110,123,136,A,C,A,Transports routiers de fret interurbains,SARL TRANSPORTS FRIGORIFIQUES DU VIVARAIS
388163453,3941430,4205400,3976072,4204249,4435675,4760518,200305,195140,158161,216086,230091,130282,15,17,17,17,18,17,A,C,C,Comm. de det. d'articles d'horlogerie et de bijouterie en magasin specialise,RULLIERE BERNARD
388182867,555782,477547,412610,287200,319653,247319,55501,41566,1106,3474,1623,-8226,3,2,1,1,1,1,C,D,D,Commerce de detail d'autres equipements du foyer,SONGJA FLUTES
429177264,637913,1558678,1685657,1763885,1529314,1549801,109,-19112,30666,43601,18678,25385,8,9,8,8,8,8,B,A,D,Activites des marchands de biens immobiliers,TERRATLAN
322271701,81189630,86782395,92326187,88048253,85712288,79294961,231522,6641,343505,52560,201203,204808,82,82,82,88,88,83,D,B,C,Commerce de gros (commerce interentreprises) de fruits et legumes,LACOUR RENE
322294794,22720020,19490225,19556251,19488754,19391151,17982498,63425,128471,233491,341086,317439,111280,22,19,24,24,30,30,C,A,C,Commerce de gros (commerce interentreprises) alimentaire specialise divers,SOCOFRAM
387592967,313590,393324,360800,278984,164848,164056,161317,115140,37362,142962,14464,68281,2,3,3,3,1,1,D,D,B,Activites des societes holding,CHABERT HOLDING
388592123,447420,540830,489930,466860,436250,486687,5500,31330,21530,19910,-14520,12939,3,3,3,3,3,4,D,C,A,Traitement et revetement des metaux,MORIN SURFACE
388622698,6121056,5765599,5432998,4983679,5928551,6332830,-10986,18031,32256,20788,69012,46995,10,10,10,11,11,12,C,A,A,Commerce de gros (commerce interentreprises) de boissons,CAVES BILLON
429397110,5110483,5289762,5100764,5379696,5215165,5307118,-161692,429854,-197776,-137027,-692941,-63974,7,7,7,5,1,5,B,D,B,Commerce de gros (commerce interentreprises) de boissons,HARDY COGNAC
409786290,585950,729740,730650,852311,738076,1027540,15700,35670,36860,65870,22855,65261,4,4,4,4,4,4,A,A,A,Autres commerces de detail specialises divers,2 DM ENCADREMENT
409798956,581100,612150,612170,592100,595520,725690,-20790,8060,19410,51030,5130,41310,12,12,13,11,10,9,A,A,B,Activites de securite privee,AGENCE DE SECURITE ET D'INTERVENTION
388679045,1245560,1341860,1356530,1417820,1455490,1481950,133180,120810,144260,146170,136300,131770,12,16,16,16,17,18,B,A,C,Boulangerie et boulangerie-patisserie,SAS BERGOULI
409966223,7499368,8566144,8899504,8303421,12880358,14172613,375350,595801,508850,266309,342874,312879,33,33,43,46,78,78,A,C,A,Transformation du the et du cafe,LE TEMPS DES CERISES
414440867,9787387,12131634,16792213,19194410,20516527,19079253,358204,1215375,1846535,2323169,32931,-1502103,33,36,70,45,49,46,B,C,A,"Activites specialisees, scientifiques et techniques diverses",VOISIN CONSULTING
414443499,5517550,3893970,3547390,3527590,3820260,2997060,4190,11470,12180,81930,48180,97210,15,15,13,15,12,14,C,B,B,Entretien et reparation d'autres vehicules automobiles,SMG CHALLENGE
414479840,874167,765436,682954,896552,524055,708945,34665,39715,45851,39763,41738,-10131,3,3,3,3,3,4,D,C,A,Travaux d'installation electrique dans tous locaux,MARSAUDON ET LEMAIRE
328703244,18414550,19145781,19107650,20166160,21509884,22149754,435889,341819,516106,616978,757835,750941,49,48,47,46,47,48,A,A,D,Supermarches,OLIBE
328704762,1197418,1218584,1218584,1219917,1217251,965426,1290676,978961,1375285,1923624,1751907,1445548,8,8,8,8,8,11,D,A,A,Activites des societes holding,SOCIETE D'INVESTISSEMENTS ET DE RECHERCHES DIVERSIFIES - S I R D
328738893,13850997,13338030,12830606,12576572,12431435,12732103,610036,632157,414166,492362,399839,492961,34,32,70,32,31,32,C,D,A,Supermarches,SODINAY
330376310,402674,761170,879808,550299,1266734,2558151,365285,420592,684401,10668,-101770,104946,8,8,7,7,7,8,A,C,D,Manutention portuaire,TRANSIT STOCKAGE MANUTENTION
330439662,4909432,4799674,4605095,4615560,4698991,4694196,20816,-107473,-101842,-15072,97416,69286,35,32,35,0,0,2,C,B,B,"Comm. de det. fleurs plantes graines engr. ani. de comp., ali. ani. en mag. spec",JARDINERIE DU MOULIN S.A.S.
386120265,1830154,1824221,1785112,1806425,1821006,1949202,23176,25008,34505,45071,32996,31839,5,5,5,5,0,6,A,A,B,Commerce d'autres vehicules automobiles,GARAGE CEVENNES DIESEL
387835747,2605868,2407008,2415188,2687010,2475036,2409905,335007,108815,165590,268626,153706,163965,18,18,18,18,18,16,D,D,B,Hotels et hebergement similaire,LITTLE PALACE SAS
388422263,13854952,8859253,7575747,9096614,8706626,8850570,447547,193781,213711,144606,352428,279673,45,43,39,36,33,39,C,D,D,Fabrication de condiments et assaisonnements,GEL'PAM
388466849,195558,187630,198258,176076,172107,172847,-1564,-5161,7424,3137,-5724,-4973,3,3,3,3,3,3,D,C,A,Restauration traditionnelle,LES RETROUVAILLES
388481574,727224,751375,774252,758882,776117,832933,7918,15220,19323,9836,10936,11908,7,7,8,8,8,6,A,C,B,Commerce de detail de viandes et de produits a base de viande en mag. specialise,KOCEL
329475552,3555842,3334495,2796028,2243297,2725793,3097428,27774,26627,26120,28231,26821,857,3,3,3,3,3,3,C,C,A,Commerce de detail de carburants en magasin specialise,HANDY JULES SARL
329529614,1939234,2286606,2315379,2531973,2993070,2391844,99145,63449,48475,70860,192297,13880,16,16,19,18,19,21,B,B,A,"Ingenierie, etudes techniques",NEU AUTOMATION
327796009,11074426,10623183,10035712,8558947,7222286,8722893,335784,431340,259217,-317191,235066,298532,53,52,39,34,30,28,D,D,D,Activites des sieges sociaux,INTERNATIONAL SOS (FRANCE) S.A.
384177556,10612804,13067147,11901656,14974777.09090909,15420626,16804233,179418,232917,222793,372006.54545454547,376003,386228,15,17,17,20.727272727272727,19,18,B,A,C,Commerce de detail d'articles de sport en magasin specialise,BALZAC CARAVANES
327993226,11052409,16829097,8899975,12242974,13363411,12815534,176358,224987,-346014,175528,23387,435895,63,62,49,0,66,49,C,D,B,Travaux de terrassement specialises ou de grande masse,DECREMPS BTP
330075847,187914,201577,212696,233037,229530,215072,6766,2340,7357,13075,-780,5112,2,2,2,2,2,2,B,C,A,Enseignement de la conduite,ECOLE DE CONDUITE ST LAURENT
330083486,9280060,10219600,9595360,9906320,11835730,14140835,320170,304910,113810,219070,66670,186200,70,73,77,79,94,87,A,D,A,Travaux de maconnerie generale et gros oeuvre de batiment,JUSTEAU FRERES
384244620,3141840,3093540,3077250,3348650,3106800,3623320,62220,59540,81420,157570,144150,220470,8,8,8,8,8,8,A,B,A,Fabrication de machines pour l'industrie agro-alimentaire,BIRALUX DISTRIBUTION
780094280,2859040,2641570,2096990,1833400,1932060,1905590,27220,16670,12260,40200,-16420,-18020,10,9,8,8,8,8,C,C,D,Commerces de detail de charbons et combustibles,ETABLISSEMENTS SAHUC
330130162,441e3,391e3,322e3,37e4,234e3,244706,29e3,3e4,18e3,18e3,18e3,13246,2,2,2,2,2,2,D,D,A,Commerce de detail d'habillement en magasin specialise,"GRILLONNAISE DE CUIRS ET PEAUX PIERRE COTTE, (SOCIETE...)"
424617892,507578,285552,320300,196734,228566,158268,419461,5527,-113521,439835,32318,142620,2,2,2,2,2,0,C,D,B,Activites des societes holding,G.C.F
424619567,484187,549411,680390,333400,485550,631233,74426,-109890,740086,-63909,1163,104221,6,6,6,7,7,5,C,C,C,Activites des societes holding,GROUPE VALENTIN
329096895,18319020,17709030,10585210,10851320,10787200,12636890,146350,215320,32480,141910,155250,55820,46,39,31,35,35,38,C,D,D,Fabrication de machines agricoles et forestieres,COSNET
385187596,369787,327913,344534,352751,388989,444712,-27904,-4485,77794,26324,5828,38232,5,4,4,0,0,0,A,A,D,Travaux de terrassement courants et travaux preparatoires,DROME ASSAINISSEMENT
424809218,305560,318890,315610,314320,314470,335788,159800,144040,152410,268690,134210,135947,4,4,4,4,4,8,A,C,A,Activites des societes holding,FINANCIERE DERREY
384377339,1649300,1364791,1199513,1030564,1027421,1050994,15792,56146,66881,79459,71824,89763,42,36,27,27,23,25,C,A,D,Autres activites de nettoyage des batiments et nettoyage industriel,SARL QUENTIN
788241545,2402133,2245448,2216153,2685867,2390999,2480779,97113,57058,46848,13816,44163,92036,16,15,16,15,13,16,A,D,B,Travaux de menuiserie bois et pvc,ALU BERTRON MENUISERIE FERMETURES
385248778,113709,120522,126120,128837,131657,132749,-11240,-6557,8551,5510,5391,-10736,3,3,3,3,2,2,B,A,B,Coiffure,SARL SAUVEUR
385257902,553460,552380,491740,646020,653940,551490,36050,34070,21930,74200,139710,45711,6,6,5,5,5,4,B,B,B,Travaux de maconnerie generale et gros oeuvre de batiment,MULTI COUPES
384533196,18346042,20231692,22689395,19477239,22118111,25117186,331694,450750,480657,341774,351007,686877,150,150,150,0,155,160,A,B,B,Travaux de terrassement specialises ou de grande masse,CARRON
303892087,2005624,2289255,2289058,2139127,1935829,2745395,127762,130580,85605,83099,79139,97129,18,18,15,18,18,11,A,D,B,Travaux de maconnerie generale et gros oeuvre de batiment,SICRE FRERES
304463672,2818627,2299710,2220268,2043010,1683919,1611913,363812,303336,174557,279302,286044,313193,33,32,25,18,16,16,D,D,D,Administration d'immeubles et autres biens immobiliers,CITYA IMMOBILIER HAUTE SAVOIE
385198569,7172906,7616442,7802926,8657240,8117592,8548022,222396,-224293,13504,-8294,40524,21895,10,11,10,10,10,10,B,D,D,Commerce de voitures et de vehicules automobiles legers,ABDX
332691005,3251344,3400387.6363636362,3564626,3764884,3933263,4032965,291736,367642.9090909091,380485,287190,363329,457140,34,40.36363636363637,38,40,41,1,B,B,B,Activites comptables,COGES
332757582,4630984,4822050,4974421,5324661,5719504,5365032,226028,281892,396726,432895,713221,438603,15,15,13,11,15,15,B,B,A,Autres commerces de detail alimentaires en magasin specialise,CHLOROPHYLLE COOP-BIO
385077433,29950419,34362987,39947976,38771677,36533936,42802929,321110,451449,759177,694897,502735,365144,77,84,84,94,0,110,B,C,B,Travaux de maconnerie generale et gros oeuvre de batiment,SO GRE BAT
385012166,578676,576812,618807,582340,562745,572577,29772,39772,38414,33240,19809,21627,4,4,4,0,0,4,D,C,B,Commerce de detail de viandes et de produits a base de viande en mag. specialise,BOUCHERIE GAMBINO
332950153,4431600,3674510,3534150,2928520,2567890,3119388,356850,140510,228850,154690,228740,142019,45,42,41,28,27,29,C,D,D,Autres activites de nettoyage des batiments et nettoyage industriel,SOCIETE INDUSTRIELLE DE SERVICE SIS
753780774,686550,697460,696670,822,784647,719069,3230,24810,20290,53,30827,31345,6,6,6,7,11,11,C,B,A,Commerce de detail de viandes et de produits a base de viande en mag. specialise,AUX SAVEURS D'AUNEAU
331688739,13042471,13251733,13006878,12764454,13054189,13107259,202284,271628,391608,398956,399995,398754,38,36,33,31,31,31,C,A,D,Supermarches,CALDIS
788940476,121686,145862,122140,102422,138113,136091,4597,9784,2923,-20369,12474,8234,1,1,1,1,1,1,C,D,A,Location de terrains et d'autres biens immobiliers,SOCIETE IMMOBILIERE ROYALE
331925552,510636,548818,544505,642451,537241,582292,-7113,2117,-14779,13717,2020,5078,1,2,2,2,2,2,B,A,C,Commerce de gros (commerce interentreprises) de fruits et legumes,SOFRUDEL
389157827,9784898,12277243,12458861,14347004,14000524,16222922,64018,60139,552,-39059,-23391,14625,17,18,19,18,19,20,B,D,A,Commerce de voitures et de vehicules automobiles legers,GILLOTIN AUTOMOBILES
389182015,1041150,1003356,1068016,1200139,156146,1333651,54757,11853,103206,102913,8893,88421,8,8,7,9,2,8,D,A,B,Travaux d'installation electrique dans tous locaux,PRO-SIGNAL
429992613,6675130,6491700,6998680,6528460,6340270,5977690,198870,97940,142430,75360,88120,202910,9,12,15,2,14,14,D,D,A,Comm. de gros (comm. interent.) d'autres machines et equipements de bureau,SOCHELEAU BUROTIC SERVICES - SBS 49
330730011,1413687,1188172,1072685,923158,739833,669862,104949,-66499,-52280,-94371,37365,70540,16,15,15,14,10,8,D,D,B,Restauration traditionnelle,PHIMARCATH
330781261,195580,180214,207929,191761,187210,187721,6692,7726,13296,10740,10680,32721,3,3,2,3,3,3,D,B,C,Commerce de detail de journaux et papeterie en magasin specialise,LIBRAIRIE CHALAYE
389360652,1814853,1638936,2082727,2455806,2547692,2613842,1507,-45132,67336,237724,151572,138990,18,15,18,15,15,18,B,A,A,Services d'amenagement paysager,DERICHEBOURG ESPACES VERTS
389388406,649232,558264,601642,576002,526280,581383,54995,28799,51341,61546,30614,49440,6,5,6,6,5,5,C,C,B,Travaux d'installation electrique dans tous locaux,ELECTRICITE 26
430407684,384526,391750,395332,397054,407340,412976,10652,13e3,16353,14169,28683,21561,7,7,7,6,6,6,A,B,B,Nettoyage courant des batiments,GARDE NETTOYAGE
430415299,31127368,33964970,34768802,37702182,41301041,8515437,76936,132934,259853,319457,279515,-240062,66,69,67,63,62,56,D,C,B,Commerce de voitures et de vehicules automobiles legers,TUPPIN MARY AUTOMOBILES ABBEVILLE
389725367,2009573,2023742,2522153,2527718,2288786,1779563,211425,226747,291591,211120,225166,63104,1,1,1,1,1,1,D,C,A,Commerce de detail d'articles de sport en magasin specialise,ENVIRONNEMENT SERVICE ET PRODUCTION
326675725,564580,576870,657460,659300,648950,807899,-2400,66890,11960,7820,43330,71094,4,4,4,6,5,6,A,B,C,Travaux de menuiserie bois et pvc,VAUDAUX RUTH JOSEPH ET CIE
389861543,2525073,2705334,2517320,2429236,2316444,2267390,33867,22950,46935,42374,48511,42523,3,3,2,2,2,2,D,A,D,,JEAN-PAUL GROSYEUX SOCIETE A RESPONSABILITE LIMITE
324882836,18506e3,20776127,19247753,19528155,19147838,19431492,32e3,71993,-65786,-257688,372148,652357,47,49,49,48,49,50,D,B,A,"Fabrication de plaques, feuilles, tubes et profiles en matieres plastiques",HEGLER FRANCE S.A.R.L.
342678117,3375908,2964504,2994304,3114199,3310546,3266513,360940,78421,60100,35017,-28089,27921,10,8,8,8,10,9,C,D,A,Fabrication de machines agricoles et forestieres,ARNAUD FRERES
342699915,1168573,1152413,905409,985591,875999,773213,223364,222109,122246,274365,192932,150795,8,7,7,7,6,4,D,C,B,Autres travaux d'installation n.c.a.,ATELIER DE CAOUTCHOUC DU MONTARGOIS
788410413,2192827,1600067,1454461,1304315,1199749,1151406,-35150,-172739,29569,-57038,-62995,37500,23,21,18,18,18,14,C,A,D,Travaux de couverture par elements,SOCIETE AMANDINOISE DE COUVERTURE
327124178,1565953,1476192,1532905,1790297,1539698,1569404,17454,7063,-7324,6419,-18858,-23012,85,2,2,2,3,2,B,C,D,Commerce de gros (commerce interentreprises) d'animaux vivants,LE VEAU FERMIER DU LAURAGAIS
327147286,650416,776677,799035,734328,711092,747696,60514,35159,45277,7790,16328,16610,3,3,3,3,3,3,B,D,A,Commerce de gros (comm. interent.) de bois et de materiaux de construction,CLERMONT BOIS
341578490,1333304,1291544,1333660,1407357,666833,186252,-45118,-181850,-55274,-49482,143692,-36273,14,14,15,16,0,1,D,B,B,Location de terrains et d'autres biens immobiliers,L'HOTAN
341760148,43218e3,44368740,43934730,44718710,46246940,46706240,-6775780,790020,1089130,840350,1342650,1171360,112,117,119,133,140,135,A,A,C,Hypermarches,MACRIS
341765964,598237,617420,621632,585874,538065,572457,4811,31210,37532,28675,5927,1056,6,6,6,6,6,6,D,C,A,"Vente par automates et autres comm. de detail hors mag., even. ou marches n.c.a.",MELANIE
422330035,908067,929627,831253,835826,584747,423560,23710,18200,24916,25899,-9534,7120,14,12,12,12,11,6,D,C,B,Travaux d'installation d'equipements thermiques et de climatisation,GENIE THERMIQUE ET CLIMATIQUE
422393751,9279033,9593508,9406122,10421256,12143489,13850371,116720,462163,338361,536704,762646,553529,86,83,84,82,92,104,A,A,A,"Traitement de donnees, hebergement et activites connexes",CYBERCITE
327216883,94568845,96915627,96930035,96605869,94871151,95131149,3567703,2981714,2190941,2183067,1790864,1705771,307,308,314,0,335,319,D,D,B,Hypermarches,ROUFFIAC DISTRIBUTION
327259396,1388480,2746970,2987120,2687160,3156490,2827660,45370,96070,152450,143310,191550,202210,27,25,25,23,24,28,B,A,A,Travaux d'installation d'eau et de gaz en tous locaux,SOCIETE D'EXPLOITATION DES ETABLISSEMENTS FERNAND ROUSTAN
341163764,782578,781170,761532,597019,534994,308128,159354,85870,70454,154413,43229,-117156,8,8,8,8,6,2,D,C,B,Activites des societes holding,SARL PIECES AUTO SERVICE
422481564,688150,704829,694283,695484,674614,604617,550,1066,8762,251,2568,-74861,5,5,4,4,4,4,D,C,D,"Comm. de gros (comm. interent.) cere., tabac non manu., sem. et alim. betail",APPRO MARIGNANAISE
332172469,956604,1147164,1189453,1122913,1261593,1479054,68350,124791,147567,135956,155149,231956,6,6,6,6,6,6,A,B,A,Mecanique industrielle,MINET MECANIQUE GENERALE - M M G
342344488,12535480,15488960,12626200,12198,12548950,10773923,479090,72e4,168980,494,658078,731261,42,41,50,44,58,55,C,D,A,Travaux d'installation d'eau et de gaz en tous locaux,ALPES SANITHERM
342355492,5081401,4929103,4675512,4413167,4081722,4097177,154592,158030,89358,-144544,-282637,-219047,55,49,43,42,35,46,D,C,D,Restauration traditionnelle,DROUANT
423875129,1034393,852863,925118,1056071,923504,1090325,26572,-124971,14116,107537,-5967,68554,8,6,7,6,6,6,A,A,D,Location de terrains et d'autres biens immobiliers,SA COTE BASQUE VACANCES
423946342,641640,658410,704210,709440,634550,632340,12060,7780,11530,17970,11520,3100,7,7,11,8,8,6,D,C,B,Mecanique industrielle,ISOMECA
333867893,254776,255871,275735,268086,261873,316889,32568,816,7724,7521,-33851,23287,2,2,2,2,2,4,A,D,A,Ambulances,AMBULANCES TAXIS TRANSPORTS BROUE
342420031,701842,608765,725088,662277,701731,871514,16438,17061,50153,51461,11905,10452,10,10,1,11,11,11,A,C,C,Travaux de platrerie,SARL FILLERE - PLATRERIE-PEINTURE
342820438,8085082.285714285,8480579,9056568,9595988,9851991,10189551,-414369.42857142864,245847,105314,13534,133954,226685,27.428571428571427,30,30,33,33,35,B,A,C,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,M-M FRANCE
342846854,2973304,2945214,3111339,3607629,4365804,3929909,62679,58761,39645,60701,107255,85479,31,35,29,29,24,19,A,B,B,etudes de marche et sondages,B3TSI
342889334,1886403,1885265,1832502,1836059,1958610,2082944,-39707,28e3,7489,17820,2953,112794,15,12,12,12,14,12,A,B,D,Activites des societes holding,BPCE SERVICES
342899374,554824,494445,521329,545971,561291,509945,211,-6285,-1370,-8514,6711,-9442,1,1,2,2,2,2,B,D,C,Commerce de gros (commerce interentreprises) de fleurs et plantes,FLOR'2000
423961085,3306e3,7513e3,3673e3,7882e3,5286e3,5028392,305e3,-32e3,208e3,-571e3,-795e3,5646,28,30,31,30,31,24,B,D,B,Travaux de menuiserie metallique et serrurerie,C.T.I.-BAT
333974095,8611242,8993631,9421592,9933789,10219785,10103247,202921,200380,258016,305286,376392,301376,47,45,46,47,48,46,B,A,C,Commerce de detail d'equipements automobiles,POINT MIDI BATTERIES
333985224,67795608,63472074,72985931,64467330,63200089,62995146,2354783,2410510,3669175,3905747,3556730,3040351,178,189,182,190,198,206,D,A,A,Activites de conditionnement,SPI
333135838,1418950,1360350,1167681,959800,996569,1085077,25748,57662,75137,70884,62046,59820,2,2,2,2,2,2,C,A,A,Commerces de detail de charbons et combustibles,ETS AUBRY ET FILS
333189397,1533941,1635591,1935989,2128889,2329286,2894641,17801,18481,22179,12592,20716,28288,4,4,4,4,4,4,A,B,A,"Comm. de gros (comm. interent.) d'ordi., d'equi. info. peripheriques et logi.",MG BUREAUTIQUE INTERNATIONAL
424301406,276602,287048,283833,291767,300439,321316,-1969,-1849,3342,221,536,-4748,1,1,1,1,1,1,A,C,A,Patisserie,INSTANTS GOURMANDS
333489177,36248777,32308177,28955906,26014374,20717105,18884440,153808,95166,60875,92609,52256,51019,6,6,6,6,5,5,D,D,B,Commerce de gros (commerce interentreprises) de produits surgeles,FRANCE EUROPE
333554293,18528683,16354556,16387231,17024494,18722678,20588081,168827,169023,191661,97585,239190,488809,48,46,43,43,42,39,A,B,D,Commerce de gros (commerce interentreprises) de materiel agricole,ETS. P. FAVIER
343462032,1503771,1485916,1889645,1485172,2151731,2170389,13248,78006,187394,132772,334580,435042,11,10,10,10,10,10,A,B,D,"Ingenierie, etudes techniques",BASE SYSTEMES
341973956,2484386,2478671,2423496,2456398,2505768,2226673,142439,54376,5791,86353,88356,75751,14,14,14,13,15,15,D,D,A,"Comm. de det. fleurs plantes graines engr. ani. de comp., ali. ani. en mag. spec",JARDINERIE DE L'UNION
428766547,2190475,2097733,2118502,1934726,1969691,1910055,-162316,-74999,-4216,-161584,60851,-146537,28,28,28,28,28,28,D,B,A,Services d'amenagement paysager,CHRISTIAN FOURNET ARCHITECTURE DE JARDINS
333683977,3563580,3201210,3272090,3519360,3859290,3857144,-6090,-138400,70520,221290,-28905,536835,28,24,22,24,36,31,A,B,A,"Decoupage, emboutissage",APPLICATIONS ET PRECISIONS INDUSTRIELLES
417717105,164015,180634,172280,196474,213170,213022,-6348,-7675,500,237,706,18922,3,3,2,1,2,2,A,B,D,Autres activites recreatives et de loisirs,COULEURS PERIGORD
342020534,18156342,16003239,15399488,14785849,15792565,13290511,151034,-189321,-308168,-307499,225538,-77865,84,76,80,84,84,84,C,D,C,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,WOLFORD PARIS SARL
342185931,3381863,2711719,2420272,2421790,3205866,2427175,10578,10592,16323,-118193,44910,-11123,32,30,28,26,24,27,C,D,D,Travaux d'installation electrique dans tous locaux,ENTREPRISE RAOULT
430163865,2298850,2089558,2575104,3020117,3517504,3566256,19144,-45695,46780,53876,50944,-12989,6,6,9,9,9,9,A,A,C,Commerce de gros (commerce interentreprises) de fleurs et plantes,DYNAVERT DIFFUSION
417787124,456220,512190,414630,411010,353350,482059,50800,78410,16410,23880,-1220,32275,3,3,3,2,2,2,C,D,B,Travaux de revetement des sols et des murs,TALON FRERES
417890910,20093723,22477548,23206631,21526980,21065356,22123653,2117159,1182916,1778880,405608,1111214,1330395,49,49,56,57,62,60,B,D,C,Fabrication d'autres produits chimiques inorganiques de base n.c.a.,SPI PHARMA
430190496,8636831,8617963,9017892,8257363,0,10224e3,-327262,308555,-491944,-1224003,0,-2639e3,43,42,43,44,0,58,D,C,B,Fabrication d'equipements de communication,ADEUNIS
418087722,34808140,34697890,34428600,34165450,35800340,37208927,1216130,1350600,1306970,1476030,958330,1179433,85,85,80,80,86,84,A,C,A,Supermarches,MARITIA
418135166,538740,438700,270820,299330,419970,482504,2920,4920,-20490,1030,2390,17525,2,2,1,1,1,2,C,D,D,"Ingenierie, etudes techniques",BUREAU D'ETUDES DE GESTION ET D'ECONOMIE
418156048,2867632,2493369,2330542,2297074,2108419,1840748,1372,50959,53597,92051,102539,41018,8,7,7,6,6,5,D,A,B,"Commerce de gros (commerce interentreprises) poissons, crustaces et mollusques",MAREYEURS BASQUES
418160008,12406465,10996377,9882057,10058135,11983687,13836949,424698,-303833,80987,-107592,-93164,1553,46,47,43,44,49,48,A,D,A,Supermarches,SUNY 2
341864288,12290357,15626279,17647921,17970382,19398207,22393338,-334080,1434174,2014758,1832230,1061609,1242814,17,17,17,18,18,18,B,A,C,Commerce et reparation de motocycles,SHOEI EUROPE DISTRIBUTION SARL
429892342,2724630,2648371,2696630,2732551,3217664,5484902,56500,-26207,41334,27041,123167,107221,34,38,39,37,37,44,A,B,A,Location de camions avec chauffeur,GOMILA
429029473,1041790,603e3,740500,721e3,745500,9e5,136880,92310,113100,110570,118700,140728,12,10,10,10,10,11,C,B,D,Conseil pour les affaires et autres conseils de gestion,FRANCOIS FRERES MANAGEMENT
418228243,434433,581552,469219,354675,347019,403656,7391,3756,10582,595,593,-16439,4,4,3,3,2,4,D,C,B,Travaux de revetement des sols et des murs,SARL TARBY JEAN-MARC
418245262,34224898,35018261,34224699,33982746,35432226,37979476,816238,1161730,920695,553152,510547,430316,174,172,177,183,197,192,A,C,A,Fabrication d'elements en matieres plastiques pour la construction,PORALU MENUISERIES
418254538,4402317,5267918,6248004,6143742,5712145,5707352,128887,143891,217446,171407,167974,208324,9,8,8,8,8,7,B,A,D,"Comm. de gros (comm. interent.) de mach. extrac., la constr. et genie civil",VIENNE SERVICES MATERIEL par abreviation V.S.M.
419928650,6256784,6347138,7150325,6595933,7178489,8209256,163225,151176,135299,216356,11796,-366292,48,48,48,46,45,49,A,C,B,Travaux de maconnerie generale et gros oeuvre de batiment,BATIVALOIRE
343845004,9523610,9610319,10161522,11001575,11340191,13276660,267946,282831,415368,288906,320523,350710,23,23,26,27,27,27,A,B,C,Commerce de gros (commerce interentreprises) de materiel electrique,ELEC AUTOMATISME
419959036,392946,341480,338583,393408,364341,314839,10087,5998,6416,35311,23005,19580,5,5,5,5,5,4,D,A,B,Travaux de couverture par elements,CLERY TOITURES
344085295,2350719,2361171,2044215,1945126,1725304,1395677,-3118,16730,24400,-6572,-44761,-39870,5,5,5,4,4,4,D,C,B,Commerce de detail d'appareils electromenagers en magasin specialise,ETABLISSEMENTS MENDIS
433420577,19640569,18356687,18993299,21088907,21743145,23085429,692956,268535,698831,554589,603978,648375,52,49,48,48,49,49,A,A,D,Commerce de gros (commerce interentreprises) de produits chimiques,COVENTYA
343803300,7079698,6632643,6670866,6692573,9207464,11691590,55854,-78185,54631,144578,212650,-99803,26,27,27,27,28,37,A,A,A,Fabrication de carrosseries et remorques,ACI - AQUITAINE CARROSSERIE INDUSTRIELLE
344746631,2220972,2089067,2150332,2224369,2494923,2644458,107437,124360,116998,147264,145957,179009,13,15,16,16,16,18,A,B,C,"Comm. de det. fleurs plantes graines engr. ani. de comp., ali. ani. en mag. spec",LES SERRES DU MANOIR
344782776,4091030,3835440,3927960,3769320,5160300,4725880,136800,209750,189620,158210,306850,248670,22,25,23,24,24,25,A,B,C,Fabrication de structures metalliques et de parties de structures,SERVICES TRAVAUX ASSISTANCE REALISATION
436280184,5994012,6381042,6286239,5714566,5213385,5284057,-127614,65788,155584,140408,92281,43203,29,30,29,27,30,31,D,A,A,Affretement et organisation des transports,TRADA
