Siren,CA2013,CA2014,CA2015,CA2016,CA2017,CA2018,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Résultat2018,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017,Effectif2018,clustersCA,clustersRES,clustersEFF,activite,nom
410363352,6117801,4533500,4478012,3929952,3936185,4291879,3728,102765,108880,123665,55713,122810,18,17,19,19,19,19,C,A,C,Production et distribution de vapeur et d'air conditionne,SOCIETE FRANCAISE DES FOYERS ECONOMIQUES
410390967,14285432,15643737,17537994,19492760,20383752,20989609,607496,1221057,1427908,1386291,1530217,935765,34,33,36,37,38,41,B,A,A,Commerce de gros (commerce interentreprises) d'autres biens domestiques,ACCESS-EQUIP MOTOS FRANCE
410429740,17194501,17308892,16522436,18175697,22515871,20924674,492174,272318,151173,262410,403138,162931,18,18,18,16,16,24,A,D,A,Commerce de voitures et de vehicules automobiles legers,R.B.C. - REIMS BRITISH CARS
481783173,448641,445119,474458,529306,572837,621569,-6427,39982,42183,76022,49494,84497,11,9,9,6,8,9,A,A,D,Restauration traditionnelle,LA CAPRICIOSA
411152424,9008220,6588e3,7593690,14942300,19019650,13789750,-35710,-70550,12300,1252660,1462250,90400,14,14,14,16,16,16,A,A,C,Commerce de gros (commerce interentreprises) non specialise,T.R. EQUIPEMENT
532540655,152418,141894,137033,169847,210421,217707,30527,1022,49,2295,19364,2349,0,0,0,0,1,1,A,D,A,Travaux de menuiserie bois et pvc,A2 C.A.I.
524446994,267596,272806,265552,284952,271688,261674,6732,12708,12695,12512,15950,-7244,6,6,6,6,9,6,D,C,A,Coiffure,FLAUJAC FIRMIS
481881563,66180,57940,71820,86010,73380,69598,22670,17800,28070,13210,-3090,2612,1,1,1,1,1,1,B,C,A,Services d'amenagement paysager,GOURDON SERVICES JARDINS
442121893,63162243,61913797,55659180,55344680,59845440,67532516,-4362015,-17808630,-2870825,-2322721,-2063302,-4182431,154,146,158,144,167,151,C,A,A,Profilage a froid par formage ou pliage,TATA STEEL FRANCE BATIMENTS ET SYSTEMES SAS
501870075,200159,170171,202387,126809,100642,112516,14292,2708,1831,-6002,-18145,20977,1,1,1,1,0,1,D,D,B,Travaux de menuiserie bois et pvc,ATOUT POSE
410634604,1478981,1562033,1649060,1377343,1357193,1443161,595678,616960,645308,475591,492633,535217,2,2,2,2,2,2,D,C,A,Conseil pour les affaires et autres conseils de gestion,FUNDS SELECTION S A
410675573,25894610,24299500,21756140,22602380,36927820,27203950,402160,340160,315140,408990,665450,491920,10,10,10,9,8,8,A,B,B,Commerce de voitures et de vehicules automobiles legers,BOUGEL TRANSACTIONS
532861812,135897,88243,128485,159398,156146,140149,6811,-22813,39605,34125,8893,2665,1,2,1,1,2,2,B,A,A,"Comm. de gros (comm. interentreprises) d'articles d'horlogerie, de bijouterie",CreationsM
439722232,327657,354467,362829,410415,469186,483137,-466,11438,35296,40951,31048,47064,4,5,4,4,4,5,A,A,A,Activites comptables,JEAN-MICHEL PACINI ET ASSOCIES
439771932,1105068,1109389,985151,1077204,1194191,966604,37765,19705,63013,63796,63251,24812,23,22,15,15,15,12,C,A,D,Travaux de maconnerie generale et gros oeuvre de batiment,DOS SANTOS
410227839,3942e3,4182e3,4774e3,5343e3,4776e3,6032724,89e3,137e3,168e3,181e3,187e3,158205,22,25,27,28,28,1,A,A,B,Travaux d'isolation,ISOLYS
410268122,541850,560106.6666666666,559110,521710,473560,464940,9890,20600,14760,15400,21290,25770,7,14.666666666666668,9,8,6,6,D,B,D,Mecanique industrielle,SARL CHEVILLEY
502094055,257480,228210,253910,241750,257250,242500,38980,31850,23010,26450,43940,22740,3,3,3,3,3,3,C,D,A,Fabrication de materiel medico-chirurgical et dentaire,LABORATOIRE DANY GASTON
414487892,15759170,16314127,19055564,15912583,16291101,17310917,-1573746,-1889053,-1887773,-3555116,-4100112,-2974526,52,51,53,54,53,52,A,D,C,Transports fluviaux de passagers,YACHTS DE PARIS
418313771,245382,234519,250555,258541,265363,273686,2622,254,1052,1214,1148,10638,3,3,3,0,3,3,A,B,B,Terrains de camping et parcs pour caravanes ou vehicules de loisirs,SARL DES DEUX GLACIERS
436650030,11416080,11154290,11942730,12454360,14712960,15569540,31260,410,62810,142240,205080,239970,25,25,26,25,24,28,A,B,A,Commerce de voitures et de vehicules automobiles legers,SOCIETE COSTARMORICAINE DE DIFFUSION AUTOMOBILE
437080948,23607346,26646735,21352014,25202799,31236301,36346067,955235,1332360,1083119,1184506,1525625,1868595,201,209,213,237,243,275,A,B,A,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",BARTEL
418422820,21623531,21583415,22621778,22725839,22852823,21921831,684510,-225304,-2412451,-4058577,-1307994,-1791458,129,136,160,150,138,121,B,D,B,Autres commerces de detail specialises divers,RYOHIN KEIKAKU FRANCE SAS
437489008,146367,106080,122435,142897,133132,126948,-3173,1285,3758,7366,5454,8500,4,2,2,4,4,4,C,A,C,Coiffure,SARL FLAUJAC PORTET
437569932,3514293,3122123,3312358,2982680,2497587,2807757,274842,205331,184574,116525,101993,49337,5,5,5,5,5,5,D,C,A,Entretien et reparation d'autres vehicules automobiles,ROUTINVERD
531049914,934080,912093,1142259,2268391,2671023,3023148,-10847,12093,51356,82991,22878,154940,3,1,4,10,10,13,A,B,C,Travaux de terrassement courants et travaux preparatoires,VERLEYEN TERRASSEMENT
418025144,327367,329722,306099,333470,358730,400521,20094,5641,691,29808,33825,4919,4,2,2,2,2,3,A,A,D,Transports routiers de fret de proximite,SARL G.S.A.
524728342,214108,211066,200387,204858,192848,193408,-8142,20535,8875,-5086,16095,8796,1,1,1,1,1,1,D,B,A,Reparation d'autres biens personnels et domestiques,EURL FR
502544612,202940,201560,213290,200330,218400,186580,10650,7650,10890,13900,13030,11760,1,1,1,1,1,1,D,A,A,Travaux d'installation d'eau et de gaz en tous locaux,SOCIETE D EXPLOITATION MOUTON PLOMBERIE
524863446,461703,457828,422815,486083,375250,416449,34469,34209,35177,35231,31879,38806,3,4,3,3,3,3,D,B,D,Entretien et reparation de vehicules automobiles legers,GARAGE DE LA REPUBLIQUE
438975286,8170340,5960120,7382450,6462e3,7137870,8595670,528040,48590,464580,478990,715090,926470,49,46,38,43,37,36,A,B,D,Telepheriques et remontees mecaniques,LA BRESSE LABELLEMONTAGNE
438995102,178113,174016,168457,160515,155087,136560,-2875,-4010,-4934,-6755,-4545,-14602,2,2,2,2,2,2,D,C,A,Commerce de detail de fruits et legumes en magasin specialise,GOLDEN
418664041,468351,464528,442794,565817,0,414402,70229,1585332,1497874,1532097,0,1736651,2,2,2,2,0,2,D,A,B,Fonds de placement et entites financieres similaires,CABAJUFI
524619582,517072,439172,402877,403613,442955,441502,55948,27241,44173,43868,59954,41311,9,10,7,8,9,9,C,A,A,Ambulances,DUCATEL
437974736,721234,922006,1036364,1061934,1026894,1178455,40679,37707,22669,22957,35759,38209,6,6,7,7,8,8,B,D,C,Terrains de camping et parcs pour caravanes ou vehicules de loisirs,CAMPING LES CASCADES
417717972,215226,197881,173749,159608,185635,206137,6965,2044,12839,-7236,4157,6407,5,5,5,5,5,5,C,D,A,Coiffure,SARL FLAUJAC LES ARENES
531104065,444002,733896,769443,1052274,1032317,1095819,32258,75930,68428,126934,139462,112466,1,2,2,4,4,4,B,A,C,Reparation d'equipements electriques,ELIOS
439334905,442927,2542449,3960158,5382730,5485994,6243395,60919,124208,174589,241092,253501,330441,3,8,13,14,17,17,B,A,C,Travaux de terrassement courants et travaux preparatoires,PROVENCE VRD
439359787,2132601,2148770,2151571,2088992,0,2216380,-596089,2312835,3041770,672458,0,2050350,21,21,22,18,0,20,D,C,B,Conseil pour les affaires et autres conseils de gestion,ESLC ENERGIES
502628696,322106,337887,268080,255823,347261,414520,24493,22586,8661,14243,14778,35506,3,2,2,2,2,2,A,D,D,Travaux de menuiserie bois et pvc,SARL COSTECHAREYRE DIDIER
434764858,241549,246971,236008,228386,243998,253790,67636,100596,76212,82969,82434,95776,1,1,1,1,1,1,C,B,A,Entreposage et stockage non frigorifique,S.A.R.L. STOCK AGRI
503275588,538122,448081,560474,492392,500386,470235,-41266,-14770,-44638,13225,18209,3417,7,4,6,0,0,0,D,A,D,Travaux de maconnerie generale et gros oeuvre de batiment,BOUTIN Sebastien
503291403,920921,943242,930380,998573,829431,1198426,37136,40857,68150,42540,25647,59144,6,6,4,5,0,7,A,C,B,Fabrication de materiel de distribution et de commande electrique,AUTOMATISMES MECANIQUE DE PICARDIE
434798583,2006605,1964073,2446934,2819498,3009509,1964650,19550,29892,41707,59898,59278,10452,17,17,16,19,18,18,B,A,C,Commerce de gros (commerce interentreprises) d'autres biens domestiques,LANTONELLE
528181001,282948,293207,306391,302548,381888,358284,40453,24696,20402,14721,29326,25084,1,2,2,2,2,3,A,D,A,Services d'amenagement paysager,ALBIZIA
435030069,5486050,6063060,6514610,7657570,8469670,8999762,63190,101930,312890,40610,138460,165235,10,2,3,3,2,3,A,B,D,Commerce de gros (commerce interentreprises) d'autres biens domestiques,SARL MOREL LORY
503065005,152104,138118,125249,121272,119479,108097,11574,9688,-1307,-1157,2815,-2058,3,3,3,3,0,3,C,D,B,Coiffure,GTL AMIENS
421524265,414921,381292,414277,209306,319695,269988,3327,-3709,14048,-46108,-19774,-17515,5,5,5,5,5,3,D,D,B,Travaux de maconnerie generale et gros oeuvre de batiment,SARL D'EXPLOITATION ENTREPRISE COSTA
528851694,82680,116406,158142,188123,221058,191418,-21589,74,4086,3642,1638,5185,2,1,1,1,1,1,B,A,D,Commerce de detail de parfumerie et de produits de beaute en magasin specialise,QING VENTE EN LIGNE
435211305,237387,317683,275299,360485,337081,386060,-31773,34721,-32756,10415,6647,-9662,1,2,2,2,2,2,B,A,C,Mecanique industrielle,SARL MG 02
504230350,311320,367630,249770,489050,271420,385318,12680,56360,-5340,127740,12910,70022,5,4,4,4,4,4,B,A,D,Travaux de couverture par elements,SANTA MARTA
504281270,303633,255005,223541,218584,237410,276420,-15575,-26817,3681,10855,14950,25084,6,3,1,1,1,1,C,A,D,Transports routiers de fret interurbains,TRANSPORT EUROPEEN SERVICE RAPIDE
528220775,359906,548205,587167,484405,559267,791250,84048,137670,93572,68744,17759,74890,2,4,5,5,6,9,A,C,A,"Ingenierie, etudes techniques",EDE CONSEIL
434718706,76125949,58544824,56890979,53862284,51485270,54770436,1042731,-895e3,-3844807,549584,-416564,167171,431,429,410,377,385,390,C,D,D,Commerce de detail d'equipements automobiles,AUTOBACS FRANCE
316806850,2420934,2291387,2206480,1991765,1794615,1571455,25676,17399,2675,15530,13312,8493,5,4,4,3,4,5,D,D,A,Commerce de gros (commerce interentreprises) d'autres produits intermediaires,L.S.G.
438787293,1253865,1179404,1371037,1245278,1495748,1575125,6841,9271,37988,61620,79637,54531,7,7,6,6,6,6,A,A,D,Entretien et reparation d'autres vehicules automobiles,GARAGE CAMPAGNE S.A.R.L.
317048957,11377653,12604391,13921794,14569437,15828995,17486029,662979,740079,974283,1068435,1112602,1282990,24,25,25,26,25,29,A,A,A,Comm. de gros (comm. interent.) de fournitures et equipements industriels divers,FRAISA
529176612,1902700,1414870,2005890,3705140,2179120,3317750,39160,42940,46620,81160,107650,159430,6,6,6,6,6,2,B,B,B,Autres travaux specialises de construction,VIGIER TRAVAUX SERVICE
531496131,705913,585341,740831,521478,1048954,711562,25224,14356,30455,7256,55412,22380,2,2,2,2,2,2,A,B,A,Comm. de gros (comm. interent.) de fourn. et equi. div. pour le comm. et serv.,P.S.D. RHONE-ALPES
440391837,293552,337227,316696,356547,443740,401316,-24393,-31138,-6843,-7934,16447,19159,2,2,2,2,2,2,A,B,A,Travaux de maconnerie generale et gros oeuvre de batiment,SEVEN MACONNERIE
318829553,4842950,4968410,4647250,4369060,4536880,4477107,105410,96820,143590,62740,26160,33481,9,10,11,11,11,16,C,C,A,Construction de maisons individuelles,MAISONS ROCBRUNE
